شناسه_مشترک,جنسیت,سن,ماه_تولد,سابقه_سیم‌کارت_ماه,نسل_اینترنت_همراه,بسته_رومینگ_بین‌الملل,فضای_ابری_اپراتور,بسته_اینترنت_شبانه,سرویس_تماس_VoLTE,سوپراپ_شبکه اجتماعی,سوپراپ_خدمات_مالی,نوع_سیم‌کارت,استفاده_اپلیکیشن_اپراتور,هزینه_ماهیانه_تومان,هزینه_کل_تومان,ریزش
1,زن,46,آذر,1,4G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,4477500,4477500,خیر
2,مرد,38,آذر,34,4G,بله,خیر,بله,خیر,خیر,خیر,دائمی,خیر,8542500,283425000,خیر
3,مرد,48,تیر,2,4G,بله,بله,خیر,خیر,خیر,خیر,اعتباری,بله,8077500,16222500,بله
4,مرد,58,آبان,45,4G,بله,خیر,بله,بله,خیر,خیر,دائمی,خیر,6345000,276112500,خیر
5,زن,37,آبان,2,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10605000,22747500,بله
6,زن,37,فروردین,8,5G,خیر,خیر,بله,خیر,بله,بله,اعتباری,بله,14947500,123075000,بله
7,مرد,59,بهمن,22,5G,خیر,بله,خیر,خیر,بله,خیر,اعتباری,بله,13365000,292410000,خیر
8,زن,49,مرداد,10,4G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,4462500,45285000,خیر
9,زن,34,خرداد,28,5G,خیر,خیر,بله,بله,بله,بله,اعتباری,بله,15720000,456907500,بله
10,مرد,47,شهریور,62,4G,بله,بله,خیر,خیر,خیر,خیر,دائمی,خیر,8422500,523192500,خیر
11,مرد,34,خرداد,13,4G,بله,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,7492500,88117500,خیر
12,مرد,34,خرداد,16,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2842500,49020000,خیر
13,مرد,43,خرداد,58,5G,خیر,خیر,بله,خیر,بله,بله,دائمی,خیر,15052500,852165000,خیر
14,مرد,18,اردیبهشت,49,5G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,15555000,755445000,بله
15,مرد,19,فروردین,25,5G,بله,خیر,بله,بله,بله,بله,اعتباری,بله,15825000,402907500,خیر
16,زن,33,آذر,69,5G,بله,بله,بله,بله,بله,بله,دائمی,خیر,16987500,1184272500,خیر
17,زن,28,مرداد,52,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3097500,153442500,خیر
18,مرد,44,اسفند,71,5G,بله,خیر,بله,خیر,بله,بله,دائمی,خیر,16005000,1107337500,خیر
19,زن,29,بهمن,10,4G,خیر,خیر,بله,بله,خیر,خیر,اعتباری,خیر,8280000,79252500,بله
20,زن,23,فروردین,21,5G,خیر,بله,بله,خیر,خیر,بله,اعتباری,بله,13507500,279435000,خیر
21,مرد,58,اسفند,1,3G,خیر,خیر,بله,خیر,خیر,بله,اعتباری,بله,5947500,5947500,بله
22,مرد,37,دی,12,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,2970000,30337500,خیر
23,مرد,41,مهر,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3022500,3022500,بله
24,زن,23,خرداد,58,4G,خیر,بله,خیر,بله,خیر,خیر,دائمی,بله,8985000,525765000,خیر
25,مرد,33,اسفند,49,4G,بله,بله,خیر,بله,خیر,خیر,اعتباری,خیر,8940000,445545000,خیر
26,زن,41,مرداد,30,4G,بله,بله,خیر,خیر,خیر,خیر,اعتباری,بله,8295000,229590000,خیر
27,مرد,26,اردیبهشت,47,5G,خیر,بله,خیر,خیر,بله,بله,اعتباری,بله,14902500,712372500,بله
28,مرد,45,شهریور,1,4G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,4530000,4530000,بله
29,مرد,33,تیر,72,3G,بله,بله,بله,بله,بله,بله,دائمی,بله,13537500,955417500,خیر
30,زن,36,مرداد,17,4G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,بله,9705000,163965000,بله
31,زن,33,مرداد,71,5G,بله,بله,بله,بله,خیر,خیر,دائمی,بله,14452500,1015042500,خیر
32,مرد,62,اسفند,2,5G,خیر,خیر,بله,خیر,بله,بله,اعتباری,بله,14325000,27247500,خیر
33,زن,40,اسفند,27,4G,بله,بله,بله,بله,خیر,خیر,دائمی,خیر,9922500,281167500,خیر
34,مرد,27,تیر,1,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,اعتباری,خیر,3030000,3030000,خیر
35,مرد,50,آبان,1,4G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,خیر,6787500,6787500,خیر
36,زن,25,اردیبهشت,72,5G,بله,بله,خیر,بله,بله,خیر,دائمی,خیر,14985000,1087755000,خیر
37,مرد,43,اردیبهشت,5,5G,خیر,خیر,خیر,خیر,خیر,خیر,اعتباری,بله,10455000,47535000,بله
38,زن,18,آبان,46,5G,خیر,خیر,بله,خیر,خیر,خیر,اعتباری,بله,11220000,532245000,خیر
39,مرد,24,آبان,34,5G,خیر,بله,بله,خیر,بله,بله,اعتباری,بله,15952500,532387500,بله
40,زن,42,اسفند,11,5G,خیر,خیر,بله,خیر,بله,بله,اعتباری,بله,14677500,165810000,بله
41,مرد,49,فروردین,10,4G,خیر,بله,خیر,خیر,خیر,خیر,دائمی,خیر,7432500,71355000,خیر
42,زن,42,خرداد,70,3G,بله,بله,خیر,خیر,بله,خیر,دائمی,بله,10380000,730852500,خیر
43,زن,39,دی,17,2G,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,فاقد سرویس دیتا,دائمی,خیر,3112500,62737500,خیر
44,زن,36,دی,63,4G,بله,بله,بله,بله,بله,خیر,دائمی,بله,11977500,729217500,خیر
45,زن,22,تیر,13,3G,بله,بله,خیر,بله,بله,خیر,اعتباری,بله,11430000,147217500,خیر
46,زن,31,خرداد,49,5G,خیر,خیر,خیر,خیر,خیر,بله,اعتباری,بله,12675000,586005000,خیر
47,مرد,34,شهریور,2,4G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,خیر,7387500,14550000,خیر
48,زن,53,اسفند,2,5G,خیر,خیر,خیر,خیر,بله,خیر,اعتباری,بله,12097500,21622500,بله
49,مرد,44,آذر,52,4G,بله,خیر,خیر,بله,بله,بله,دائمی,بله,11962500,632670000,خیر
50,زن,19,اردیبهشت,69,3G,بله,خیر,بله,بله,خیر,خیر,دائمی,بله,9622500,638115000,خیر
51,زن,44,فروردین,43,5G,خیر,بله,خیر,خیر,بله,خیر,اعتباری,بله,13537500,575812500,خیر
52,زن,35,آبان,15,5G,بله,بله,خیر,خیر,بله,بله,اعتباری,بله,14865000,213960000,بله
53,زن,32,مهر,25,4G,بله,خیر,خیر,بله,بله,خیر,اعتباری,بله,10425000,262897500,خیر
54,زن,47,خرداد,8,5G,خیر,بله,خیر,خیر,خیر,خیر,اعتباری,بله,12097500,94995000,بله
55,زن,52,فروردین,60,3G,بله,بله,بله,بله,خیر,بله,دائمی,بله,11227500,668452500,خیر
56,مرد,51,آذر,18,5G,خیر,خیر,خیر,خیر,بله,بله,اعتباری,بله,14317500,262882500,بله
57,زن,30,خرداد,63,5G,بله,خیر,خیر,خیر,بله,بله,دائمی,بله,14947500,946680000,خیر
58,مرد,36,شهریور,66,5G,خیر,بله,بله,بله,بله,بله,دائمی,بله,16267500,1061452500,خیر
